あい歯科クリニック,アイシカクリニック
宮﨑デンタルオフィス,ミヤザキデンタルオフィス
椋本歯科医院,ムクモトシカイイン
武藤歯科医院,ムトウシカイイン
むらい耳鼻咽喉科,ムライジビインコウカ
むらしま整形外科,ムラシマセイケイゲカ
むらた歯科クリニック,ムラタシカクリニック
むらた内科クリニック,ムラタナイカクリニック
もみの木整形外科,モミノキセイケイゲカ
もりかわ歯科,モリカワシカ
森眼科,モリガンカ
森歯科クリニック,モリシカクリニック
森心身医学クリニック,モリシンシンイガククリニック
森田内科クリニック,モリタナイカクリニック
もりもと歯科医院,モリモトシカイイン
ヤナセクリニック,ヤナセクリニック
やまかみクリニック,ヤマカミクリニック
やまかみ内科クリニック,ヤマカミナイカクリニック
やまぐちクリニック,ヤマグチクリニック
山口歯科,ヤマグチシカ
山崎循環器内科,ヤマザキジュンカンキナイカ
山の手内科クリニック,ヤマノテナイカクリニック
やまもと歯科,ヤマモトシカ
山本歯科医院,ヤマモトシカイイン
やまもと総合診療クリニック,ヤマモトソウゴウシンリョウクリニック
山本皮フ科,ヤマモトヒフカ
ゆう心のクリニック,ユウココロノクリニック
ゆたクリニック,ユタクリニック
ゆり形成内科整形,ユリケイセイナイカセイケイ
吉田クリニック,ヨシダクリニック
吉田歯科医院,ヨシダシカイイン
よしだ眼科,ヨシダナイカ
吉中歯科,ヨシナカシカ
理研産業補聴器センター,リケンサンギョウホチョウキセンター
若葉病院,ワカバビョウイン
渡部クリニック,ワタベクリニック
【病院　鈴鹿亀山地区】,
三重膠原病リウマチ痛風クリニック,ミエコウゲンビョウリウマチツウフウクリニック
【病院　松阪地区】,
うれしの医院,ウレシノイイン
北大路眼科,キタオオジガンカ
くしもと整形外科,クシモトセイケイゲカ
のぞみ歯科,ノゾミシカ
むとうクリニック,ムトウクリニック
【その他　保険外】,
泉園,イズミエン
一志カラオケ,イチシカラオケ
うなぎの三谷高茶屋店,ウナギノミタニタカチャヤテン
F1マート,エフワンマート
乙部郵便局,オトベユウビンキョク
ぎゅーとら持川店,ギュートラモチカワテン
ココカラファイン垂水店,ココカラファインタルミテン
さかえ接骨院,サカエセッコツイン
サワイ美容,サワイビヨウ
三十三銀行最寄り支店,サンジュウサンギンコウモヨリシテン
しおりの里,シオリノサト
自宅,ジタク
城山郵便局,シロヤマユウビンキョク
専修寺,センジュジ
ソフトバンク最寄りショップ,ソフトバンクモヨリショップ
高田デイサービス慈光院,タカダデイサービスジコウイン
垂水老人福祉センター,タルミロウジンフクシセンター
津駅西口,ツエキニシグチ
津駅東口,ツエキヒガシグチ
津市役所,ツシヤクショ
津市役所久居出張所,ツシヤクショヒサイシュッチョウショ
津信用金庫橋南支店,ツシンヨウキンコキョウナンテン
津税務署,ツゼイムショ
津年金事務所,ツネンキンジムショ
東海労金,トウカイロウキン
特養老人ホーム高田光寿園,トクヨウロウジンホームタカダコウジュエン
ハーモニーハウス津・大園,ハーモニーハウスツ・オオゾノ
はな房,ハナフサ
はま寿司,ハマズシ
久居支所,ヒサイシショ
陽だまりの丘,ヒダマリノオカ
百五銀行　津駅西口支店,ヒャクゴギンコウツエキニシグチシテン
百五銀行最寄り支店,ヒャクゴギンコウモヨリシテン
美容院　城山イオン,ビヨウシツシロヤマイオン
美容院　デコ,ビヨウシツデコ
美容院　ドリーム,ビヨウシツドリーム
美容院　リンス,ビヨウシツリンス
プラージュ津新町店,プラージュツシンマチテン
ふれあい会館,フレアイカイカン
ほっと久居店,ホットヒサイテン
マックスバリュ,マックスバリュ
マックスバリュ垂水店,マックスバリュタルミテン
みえ愛の里,ミエアイノサト
三重画廊,ミエガロウ
三重中央自動車学校,ミエチュウオウジドウシャガッコウ
MieMu三重県総合博物館,ミエムミエケンソウゴウハクブツカン
八幡園,ヤハタエン
ヤマナカ,ヤマナカ
UFJ 津支店,ユーエスジェイツシテン
郵便局最寄り支店,ユウビンキョクモヨリシテン
理容カットエー津南店,リヨウカットエーツミナミテン
麗人美容室,レイニンビヨウシツ
老人保健施設アルカディア,ロウジンホケンシセツアルカディア
鳴神歯科,ナルカミシカ
メガネのマスダ,メガネノマスダ
老人保険施設アルカディア,ロウジンホケンシセツアルカディア
島崎町フレッシュマートベーシック,シマザキチョウフレッシュマートベーシック
東海眼科↔︎たなか内科,トウカイガンカタナカナイカ
百五銀行　本店,ヒャクゴギンコウホンテン
マックスバリュ港町店,マックスバリュミナトマチシテン
吉野家乙部店,ヨシノヤオトベテン
三重大学附属病院↔︎赤塚クリニック,ミエダイガクフゾクビョウインカラアカツカクリニツマク
香良洲町役場,カラスチョウヤクバ
自宅からエミタス,ジタクカラエミタス
エミタス,エミタス
介護老人保健施設あのう,カイゴロウジンホケンシセツアノウ
すずき歯科↔︎久居アルスプラザ,スズキシカカラヒサイアルスプラザ
久居アルスプラザ,ヒサイアルスプラザ
中浜胃腸科外科,ナカハマイチョウカゲカ
ウエルシア津久居中町店,ウエルシアツヒサイナカマチ
ポルタ久居,ポルタヒサイ
せと整形外科,セトセイケイゲカ
いこか内科,イコカナイカ
櫛形郵便局,クシガタユウビンキョク
松田鍼灸整骨院,マツダシンキュウセイコツイン
安濃総合支所（安濃総合庁舎）,アノウソウゴウシショ
ザ・ビッグ芸濃店,ザビッグゲイノウテン
武内病院↔︎久居支所,タケウチビョウインカラヒサイシショ
済生会松阪総合病院↔武内病院,サイセイカイマツサカソウゴウビョウインカラタケウチビョウイン
済生会松阪総合病院,サイセイカイマツサカソウゴウビョウイン
鈴鹿回生病院,スズカカイセイビョウイン
前川内科,メエガワナイカ
松阪市民病院,マツサカシミンビョウイン
村瀬病院,ムラセビョウイン
リージョンプラザ,リージョンプラザ
榊原病院からこまつの里,サカキバラビョウインカラコマツノサト
管理者テスト・行き先,カンリシャ・テスト
松菱百貨店,マツビシヒャッカテン
三重県教育文化会館,ミエケンキョウイクブンカカイカン
こころの医療センター↔JA津安芸津中央支店,ココロノイリョウセンターカラジェイエーツアゲイツチュウオウシテン
つみなみシルバーケア豊壽園,ツミナミシルバーケアホウジュエン
まつなが眼科↔川口耳鼻咽喉科,マツナガガンカカワグチジビインコウカ
こまつの里・こまつの作業所,コマツノサトコマツノサギョウショ
